,HotelClass,AvgRating,PriceRangeLow,PriceRangeHigh,BBInnBinary,NumberRooms,LanguagesSpoken,TotalPhotos,DiningPhotos,PoolBeachPhotos,RoomSuitePhotos,TravelerPhotos,VideosPhotos,ReviewCount,ExcellentReviewCount,VeryGoodReviewCount,AverageReviewCount,PoorReviewCount,TerribleReviewCount,QACount,RoomTipCount,LocationRating,CleanlinessRating,ServiceRating,ValueRating,WalkerScore,RestaurantScore,AttractionsScore,DescriptionLengthWords,DescriptionSustainable,DescriptionRenewables,HotelStyleGreen,HotelStyleBusiness,HotelStyleModern,HotelStyleLuxury,CityViewRoomType,NonSmokingRoomType,SuitesRoomType,FamilyRoomType,OceanViewRoomType,PoolViewRoomType,BridalRoomType,AmenitiesSectionLength,AmenitiesBicycleRent,AmenitiesHighSpeedWiFi,AmenitiesRestaurant,AmenitiesPaidParking,AmenitiesFreeParking,AmenitiesFitness,AmenitiesBar,AmenitiesChildren,AmenitiesPets,AmenitiesSauna,AmenitiesHotTub,AmenitiesPool,AmenitiesCoffeeShop,AmenitiesSpecialDiet,AmenitiesBreakfast,AmenitiesBreakfastRoom,AmenitiesTaxi,AmenitiesAirport,AmenitiesBusiness,AmenitiesConference,AmenitiesBanquet,AmenitiesMeetingRooms,AmenitiesTerrace,AmenitiesBaggage,AmenitiesConcierge,AmenitiesCurrencyEx,AmenitiesNonSmoking,Amenities24Hours,AmenitiesSpecialCheck,AmenitiesDryCleaning,AmenitiesLaundry,AmenitiesFacialTreat,AmenitiesSpa,AmenitiesMassage,RoomFeatSectionLength,RoomFeatAllergyFree,RoomFeatFlatsceenTV,RoomFeatWalkInShower,RoomFeatHousekeeping,RoomFeatCoffeeTea,RoomFeatSoundproof,RoomFeatSafe,RoomFeatLaptopSafe,RoomFeatBalcony,RoomFeatRefrigerator,RoomFeatToiletries,RoomFeatHairdryer,RoomFeatFireplace,RoomFeatAirCon,RoomFeatMinibar,RoomFeatMicrowave,RoomFeatVIP,RoomFeatService,RoomFeatWakeUp,SpecialtBinary,GreenLeaderBinary,TravelersChoiceBinary,Percentile,EnglishReviewProportion,LocalReviewProportion
30374,2.5,3.5,33.0,51.0,1,5.0,3,41,0.0,0.0,17.0,41.0,0.0,72,23,21,15,9,4,1,11,45.0,40.0,40.0,40.0,100.0,398.0,196.0,199.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6976744186046512,0.4444444444444444,0.1666666666666666
30381,2.0,4.0,30.0,49.0,0,146.0,3,178,26.0,0.0,6.0,115.0,0.0,825,249,374,151,44,7,7,21,45.0,40.0,40.0,40.0,86.0,379.0,146.0,115.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,404,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,111,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.8311688311688312,0.2703030303030303,0.4933333333333333
30382,3.0,3.5,28.0,78.0,1,13.0,2,46,8.0,0.0,24.0,0.0,0.0,11,1,6,0,3,1,0,0,40.0,45.0,35.0,30.0,62.0,20.0,5.0,41.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,341,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0909090909090909,0.8181818181818182
30383,4.0,3.5,30.0,65.0,0,125.0,1,102,2.0,4.0,0.0,58.0,0.0,84,24,25,23,8,4,0,3,45.0,40.0,40.0,40.0,40.0,9.0,7.0,172.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,325,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.1071428571428571,0.8452380952380952
30385,3.0,4.5,61.0,83.0,0,8.0,1,95,5.0,0.0,38.0,47.0,0.0,108,57,40,3,4,4,3,26,50.0,45.0,40.0,45.0,100.0,443.0,211.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,83,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.9299111549851924,0.75,0.0
30395,2.0,4.0,35.0,69.0,1,11.0,2,21,7.0,0.0,0.0,21.0,0.0,11,5,2,2,1,1,0,0,45.0,45.0,50.0,30.0,85.0,26.0,5.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,170,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5909090909090908,0.0909090909090909,0.9090909090909092
30421,3.0,3.5,18.0,49.0,1,26.0,3,8,0.0,0.0,0.0,0.0,0.0,41,8,18,10,1,4,1,4,35.0,35.0,40.0,40.0,41.0,10.0,4.0,223.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7727272727272727,0.3414634146341463,0.2926829268292683
30439,3.0,4.0,33.0,63.0,0,117.0,2,192,27.0,0.0,94.0,155.0,0.0,510,216,215,56,16,7,3,19,40.0,45.0,45.0,45.0,47.0,34.0,5.0,82.0,0.0,0.0,0,0,1,0,0,1,1,1,0,0,0,617,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,232,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0.7987012987012987,0.307843137254902,0.4647058823529412
30451,3.0,3.5,38.0,72.0,0,96.0,3,16,0.0,0.0,6.0,16.0,0.0,31,4,9,16,0,2,0,0,35.0,35.0,40.0,35.0,87.0,13.0,7.0,153.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3974358974358974,0.1612903225806451,0.8387096774193549
30456,4.0,4.0,46.0,50.0,1,11.0,2,68,9.0,0.0,14.0,41.0,0.0,25,11,10,2,1,1,1,1,45.0,45.0,45.0,40.0,78.0,127.0,30.0,48.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,358,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,131,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.935483870967742,0.2,0.36
