,HotelClass,AvgRating,PriceRangeLow,PriceRangeHigh,BBInnBinary,NumberRooms,LanguagesSpoken,TotalPhotos,DiningPhotos,PoolBeachPhotos,RoomSuitePhotos,TravelerPhotos,VideosPhotos,ReviewCount,ExcellentReviewCount,VeryGoodReviewCount,AverageReviewCount,PoorReviewCount,TerribleReviewCount,QACount,RoomTipCount,LocationRating,CleanlinessRating,ServiceRating,ValueRating,WalkerScore,RestaurantScore,AttractionsScore,DescriptionLengthWords,DescriptionSustainable,DescriptionRenewables,HotelStyleGreen,HotelStyleBusiness,HotelStyleModern,HotelStyleLuxury,CityViewRoomType,NonSmokingRoomType,SuitesRoomType,FamilyRoomType,OceanViewRoomType,PoolViewRoomType,BridalRoomType,AmenitiesSectionLength,AmenitiesBicycleRent,AmenitiesHighSpeedWiFi,AmenitiesRestaurant,AmenitiesPaidParking,AmenitiesFreeParking,AmenitiesFitness,AmenitiesBar,AmenitiesChildren,AmenitiesPets,AmenitiesSauna,AmenitiesHotTub,AmenitiesPool,AmenitiesCoffeeShop,AmenitiesSpecialDiet,AmenitiesBreakfast,AmenitiesBreakfastRoom,AmenitiesTaxi,AmenitiesAirport,AmenitiesBusiness,AmenitiesConference,AmenitiesBanquet,AmenitiesMeetingRooms,AmenitiesTerrace,AmenitiesBaggage,AmenitiesConcierge,AmenitiesCurrencyEx,AmenitiesNonSmoking,Amenities24Hours,AmenitiesSpecialCheck,AmenitiesDryCleaning,AmenitiesLaundry,AmenitiesFacialTreat,AmenitiesSpa,AmenitiesMassage,RoomFeatSectionLength,RoomFeatAllergyFree,RoomFeatFlatsceenTV,RoomFeatWalkInShower,RoomFeatHousekeeping,RoomFeatCoffeeTea,RoomFeatSoundproof,RoomFeatSafe,RoomFeatLaptopSafe,RoomFeatBalcony,RoomFeatRefrigerator,RoomFeatToiletries,RoomFeatHairdryer,RoomFeatFireplace,RoomFeatAirCon,RoomFeatMinibar,RoomFeatMicrowave,RoomFeatVIP,RoomFeatService,RoomFeatWakeUp,SpecialtBinary,GreenLeaderBinary,TravelersChoiceBinary,Percentile,EnglishReviewProportion,LocalReviewProportion
20842,4.0,4.0,69.0,177.0,0,62.0,3,526,28.0,0.0,127.0,483.0,0.0,1129,492,391,166,52,28,9,76,45.0,45.0,45.0,40.0,100.0,54.0,51.0,83.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,440,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,72,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.7272727272727273,0.2604074402125775,0.604074402125775
20843,4.0,4.0,60.0,157.0,0,42.0,4,440,20.0,0.0,47.0,395.0,0.0,758,274,273,115,52,44,4,54,50.0,40.0,40.0,40.0,100.0,58.0,53.0,131.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,533,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,172,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0.4545454545454546,0.3205804749340369,0.5329815303430079
20845,3.0,4.0,43.0,88.0,0,31.0,5,266,14.0,0.0,38.0,259.0,0.0,648,197,286,110,36,19,2,38,45.0,40.0,40.0,40.0,95.0,44.0,38.0,69.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,399,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,131,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0.2727272727272727,0.1759259259259259,0.7006172839506173
20850,3.0,3.0,43.0,64.0,0,21.0,1,70,7.0,0.0,24.0,67.0,0.0,241,45,62,42,37,55,0,2,35.0,30.0,30.0,30.0,74.0,53.0,40.0,120.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,218,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0331950207468879,0.925311203319502
20851,3.0,4.0,52.0,82.0,0,24.0,1,112,13.0,0.0,18.0,112.0,0.0,246,83,115,26,17,5,1,3,45.0,40.0,40.0,40.0,90.0,38.0,34.0,129.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1138211382113821,0.7926829268292683
20852,4.0,4.0,59.0,113.0,0,18.0,3,486,87.0,0.0,61.0,443.0,0.0,732,300,307,86,31,8,6,64,50.0,45.0,45.0,40.0,100.0,56.0,54.0,250.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,449,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,135,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0.5454545454545454,0.2800546448087431,0.6215846994535519
20854,3.0,3.0,67.0,91.0,0,30.0,1,11,1.0,0.0,10.0,11.0,0.0,44,4,7,19,3,11,0,1,40.0,30.0,30.0,35.0,97.0,44.0,41.0,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1818181818181818,0.75
20856,3.0,4.5,52.0,106.0,0,20.0,4,186,16.0,0.0,24.0,170.0,0.0,319,150,128,32,4,5,3,7,45.0,45.0,40.0,40.0,100.0,57.0,54.0,123.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,464,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,210,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0.8181818181818181,0.2131661442006269,0.6833855799373041
20857,4.0,3.5,60.0,99.0,0,56.0,1,378,18.0,0.0,55.0,358.0,0.0,710,177,262,169,65,37,2,12,35.0,40.0,40.0,35.0,69.0,31.0,12.0,111.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,379,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,76,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.25,0.0746478873239436,0.8380281690140845
20858,3.0,4.5,61.0,95.0,0,18.0,5,496,0.0,0.0,89.0,421.0,1.0,743,443,249,45,5,1,7,38,50.0,45.0,45.0,45.0,100.0,55.0,54.0,62.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,299,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,195,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0.9090909090909092,0.2934051144010767,0.5275908479138627
20862,4.0,4.0,66.0,125.0,0,91.0,4,384,22.0,0.0,15.0,310.0,0.0,810,367,307,90,30,16,9,7,40.0,45.0,45.0,40.0,40.0,19.0,4.0,92.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,535,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,118,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0.75,0.0753086419753086,0.8654320987654321
20863,4.0,4.5,100.0,199.0,0,8.0,6,76,5.0,0.0,11.0,58.0,0.0,135,86,29,14,2,4,2,19,50.0,45.0,45.0,45.0,100.0,58.0,53.0,64.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,601,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,190,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0.3636363636363636,0.4296296296296296,0.3703703703703703
20866,3.0,4.5,54.0,124.0,1,37.0,3,29,0.0,4.0,5.0,13.0,0.0,23,14,5,3,1,0,0,0,50.0,45.0,45.0,40.0,59.0,12.0,3.0,158.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,665,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,80,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.9130434782608696,0.0434782608695652,0.9130434782608696
20869,4.0,4.5,71.0,162.0,0,164.0,3,1727,0.0,0.0,756.0,1534.0,0.0,3585,1868,1338,262,72,45,71,100,45.0,45.0,45.0,45.0,100.0,68.0,35.0,14.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,308,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,64,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.8560209424083769,0.6859135285913529,0.0
20878,4.0,4.5,80.0,88.0,0,17.0,3,85,8.0,0.0,8.0,53.0,0.0,150,105,36,7,1,1,2,15,50.0,50.0,45.0,45.0,100.0,47.0,17.0,230.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,248,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,176,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.8571428571428572,0.6733333333333333,0.08
20902,4.0,3.0,49.0,107.0,0,90.0,1,124,6.0,0.0,35.0,123.0,0.0,194,27,35,55,40,37,1,8,30.0,30.0,35.0,30.0,66.0,41.0,12.0,198.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.2061855670103092,0.7061855670103093
20918,2.0,3.5,45.0,115.0,0,20.0,3,50,3.0,0.0,25.0,31.0,0.0,110,25,45,19,13,8,1,7,45.0,40.0,40.0,40.0,100.0,333.0,119.0,167.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,198,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.8561093247588425,0.4636363636363636,0.0
20949,3.0,4.5,48.0,131.0,0,30.0,3,223,0.0,0.0,0.0,170.0,0.0,537,295,178,37,12,15,11,60,45.0,45.0,45.0,45.0,100.0,268.0,88.0,166.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9766881028938906,0.6722532588454376,0.0
20950,3.5,3.5,78.0,115.0,0,52.0,1,84,7.0,0.0,5.0,49.0,0.0,125,45,30,22,16,12,3,6,45.0,40.0,40.0,35.0,88.0,18.0,8.0,196.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,384,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.6,0.32,0.4
20951,4.0,4.0,82.0,112.0,1,42.0,2,65,0.0,9.0,29.0,47.0,0.0,51,16,21,7,2,5,1,3,40.0,40.0,40.0,40.0,48.0,94.0,32.0,181.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,291,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,69,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.9230769230769232,0.3725490196078431,0.392156862745098
20952,3.0,4.0,74.0,215.0,0,240.0,1,35,0.0,0.0,22.0,35.0,0.0,34,14,10,10,0,0,1,2,45.0,40.0,45.0,45.0,42.0,73.0,21.0,103.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1764705882352941,0.6470588235294118
20955,2.0,4.5,31.0,74.0,0,11.0,1,37,4.0,0.0,8.0,17.0,0.0,86,67,8,7,2,2,0,4,50.0,45.0,45.0,45.0,100.0,422.0,147.0,225.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.9541800643086816,0.813953488372093,0.0
20957,4.0,3.5,82.0,142.0,0,60.0,2,73,7.0,0.0,15.0,49.0,0.0,96,27,24,27,10,8,0,5,45.0,40.0,40.0,40.0,85.0,34.0,11.0,143.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,508,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,94,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0.7619047619047619,0.25,0.6041666666666666
20967,2.0,4.0,26.0,31.0,0,22.0,3,9,0.0,0.0,0.0,0.0,0.0,25,9,9,5,0,2,0,5,50.0,40.0,40.0,45.0,94.0,53.0,10.0,165.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6111111111111112,0.6,0.0
20970,3.0,3.0,38.0,45.0,0,60.0,4,47,1.0,0.0,23.0,47.0,0.0,52,5,14,18,10,5,0,0,40.0,35.0,30.0,35.0,63.0,36.0,7.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,0.2692307692307692,0.3653846153846153
20976,2.0,4.5,26.0,63.0,1,10.0,2,39,0.0,0.0,5.0,33.0,0.0,81,46,26,5,2,2,2,4,40.0,40.0,45.0,45.0,79.0,13.0,2.0,69.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9140625,0.5432098765432098,0.0
20977,3.0,4.5,39.0,63.0,1,5.0,3,11,0.0,2.0,0.0,11.0,0.0,6,4,2,0,0,0,0,0,35.0,40.0,45.0,45.0,67.0,14.0,5.0,130.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6774193548387097,0.6666666666666666,0.1666666666666666
20979,3.0,4.0,43.0,59.0,0,25.0,3,68,2.0,0.0,17.0,65.0,0.0,83,23,36,16,4,4,0,9,50.0,45.0,40.0,45.0,100.0,61.0,26.0,44.0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,0,343,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,107,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.76,0.4578313253012048,0.1927710843373494
20989,3.0,3.5,39.0,75.0,0,24.0,2,65,2.0,0.0,27.0,65.0,0.0,131,38,47,26,13,7,3,13,40.0,40.0,40.0,40.0,93.0,63.0,22.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,198,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,68,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.8810289389067524,0.4732824427480916,0.0
20993,3.0,4.0,32.0,81.0,0,30.0,3,404,0.0,0.0,178.0,173.0,0.0,718,243,349,102,15,9,19,44,40.0,45.0,45.0,45.0,100.0,96.0,33.0,105.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,267,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7251308900523561,0.4484679665738161,0.0
21014,4.0,5.0,91.0,180.0,0,34.0,3,211,15.0,0.0,25.0,146.0,0.0,305,274,29,1,1,0,2,6,50.0,50.0,50.0,50.0,100.0,286.0,69.0,148.0,0.0,0.0,0,0,0,0,1,1,1,1,0,0,0,411,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,300,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0.9764397905759162,0.6491803278688525,0.0
21015,3.0,4.0,38.0,113.0,0,5.0,2,179,11.0,0.0,12.0,172.0,0.0,259,142,73,23,6,15,8,20,50.0,45.0,40.0,45.0,100.0,479.0,180.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,184,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,97,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0.9421221864951768,0.4633204633204633,0.0
21025,4.0,4.5,89.0,208.0,0,38.0,8,185,14.0,0.0,28.0,150.0,0.0,131,100,21,4,3,3,6,6,50.0,50.0,50.0,50.0,100.0,453.0,163.0,64.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,568,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,290,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0.8586387434554974,0.7175572519083969,0.0
21028,3.0,4.0,62.0,72.0,0,34.0,3,36,4.0,0.0,13.0,20.0,0.0,50,16,24,4,1,5,0,1,40.0,40.0,45.0,40.0,60.0,44.0,15.0,218.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,398,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,207,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.6875,0.44,0.18
21043,3.0,4.0,53.0,57.0,1,15.0,3,33,4.0,0.0,2.0,33.0,0.0,35,16,10,8,1,0,0,2,35.0,45.0,40.0,40.0,58.0,42.0,5.0,187.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9166666666666666,0.4571428571428571,0.2285714285714285
21046,4.0,3.5,37.0,83.0,0,379.0,6,616,0.0,0.0,145.0,333.0,0.0,2654,628,1072,621,187,146,34,71,40.0,40.0,40.0,40.0,59.0,32.0,10.0,184.0,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,738,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,294,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0.6387434554973822,0.4996232102486812,0.1507159005275056
21047,3.0,4.0,22.0,33.0,1,11.0,2,17,2.0,0.0,2.0,17.0,0.0,43,22,14,3,2,2,0,4,45.0,40.0,45.0,45.0,66.0,17.0,9.0,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0.4883720930232558,0.2558139534883721
21049,3.0,4.0,36.0,49.0,0,96.0,3,142,31.0,0.0,8.0,103.0,0.0,270,74,121,63,10,2,2,7,40.0,45.0,40.0,40.0,85.0,82.0,35.0,77.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,323,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,155,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.9565217391304348,0.4851851851851851,0.0
21054,4.0,4.0,52.0,78.0,0,50.0,1,75,9.0,0.0,12.0,43.0,0.0,52,20,21,7,2,2,0,5,50.0,45.0,40.0,40.0,82.0,15.0,10.0,153.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,157,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.7,0.2884615384615384,0.5961538461538461
21057,4.0,4.5,92.0,169.0,0,236.0,1,297,0.0,39.0,39.0,257.0,0.0,410,283,93,28,5,1,8,15,45.0,45.0,45.0,40.0,86.0,24.0,6.0,95.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,440,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,79,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0.9714285714285714,0.1658536585365853,0.2292682926829268
21062,4.0,4.5,78.0,150.0,0,80.0,7,1610,211.0,0.0,499.0,1353.0,0.0,2303,1640,572,74,12,5,57,100,45.0,50.0,50.0,45.0,100.0,169.0,67.0,144.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,436,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,80,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.9267015706806284,0.5948762483716891,0.0
21063,3.0,4.0,30.0,465.0,0,47.0,4,309,14.0,0.0,109.0,271.0,0.0,422,186,146,56,20,14,21,36,45.0,45.0,40.0,45.0,98.0,85.0,27.0,206.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.9614147909967844,0.5592417061611374,0.0
21066,3.0,3.5,36.0,52.0,0,155.0,2,169,14.0,0.0,65.0,137.0,0.0,164,32,51,41,24,16,0,18,45.0,35.0,35.0,35.0,100.0,53.0,18.0,137.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,533,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,165,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.6521739130434783,0.3414634146341463,0.1524390243902439
21067,3.0,4.0,49.0,153.0,0,19.0,1,50,9.0,0.0,26.0,10.0,0.0,34,10,16,6,0,2,1,2,45.0,45.0,45.0,45.0,100.0,78.0,30.0,118.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,136,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.882636655948553,0.3235294117647059,0.0
21070,3.0,2.0,41.0,54.0,0,253.0,2,229,8.0,0.0,0.0,229.0,0.0,147,8,18,26,36,59,0,12,45.0,25.0,25.0,25.0,100.0,68.0,15.0,187.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.4965986394557823,0.2653061224489796
21077,4.0,4.5,57.0,86.0,0,32.0,3,206,24.0,0.0,37.0,179.0,0.0,51,27,20,3,1,0,0,6,45.0,45.0,45.0,45.0,50.0,20.0,3.0,73.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,568,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,101,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.5,0.5686274509803921,0.1176470588235294
21078,3.0,3.5,70.0,75.0,0,50.0,3,58,3.0,1.0,0.0,54.0,0.0,35,10,7,10,6,2,0,4,40.0,35.0,40.0,30.0,69.0,41.0,20.0,202.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3199999999999999,0.2,0.6571428571428571
21079,5.0,4.5,146.0,350.0,0,440.0,7,5872,0.0,0.0,1136.0,5027.0,6.0,8999,6819,1551,389,155,85,162,100,45.0,50.0,45.0,45.0,100.0,258.0,82.0,156.0,0.0,0.0,0,0,0,0,1,1,1,1,0,0,1,907,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,276,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0.9031413612565444,0.6811867985331703,0.0
