Pipeline,Classifier,Recall,F2,ROC AUC
Robust_Scaler_PCA8_Rand_Under,Logistic Regression,0.644,0.353,0.829
None_PCA8_SMOTE,Logistic Regression,0.685,0.358,0.831
Yeo_Johnson_PCA8_SMOTE,Logistic Regression,0.763,0.335,0.836
Box_Cox_PCA8_SMOTE,Logistic Regression,0.763,0.342,0.839
MinMax_PCA8_SMOTE,Logistic Regression,0.747,0.29,0.792
Standardize_PCA8_SMOTE,Logistic Regression,0.728,0.348,0.837
Robust_Scaler_PCA8_SMOTE,Logistic Regression,0.652,0.357,0.827
None_PCA8_SMOTE_Under,Logistic Regression,0.684,0.358,0.831
Yeo_Johnson_PCA8_SMOTE_Under,Logistic Regression,0.763,0.335,0.836
Box_Cox_PCA8_SMOTE_Under,Logistic Regression,0.763,0.342,0.839
MinMax_PCA8_SMOTE_Under,Logistic Regression,0.747,0.29,0.792
Standardize_PCA8_SMOTE_Under,Logistic Regression,0.728,0.349,0.837
Robust_Scaler_PCA8_SMOTE_Under,Logistic Regression,0.652,0.357,0.827
None_None_None,LDA,0.329,0.331,0.851
Yeo_Johnson_None_None,LDA,0.287,0.299,0.857
Box_Cox_None_None,LDA,0.288,0.3,0.862
MinMax_None_None,LDA,0.329,0.331,0.851
Standardize_None_None,LDA,0.329,0.331,0.851
Robust_Scaler_None_None,LDA,0.329,0.331,0.851
None_Rand_Over_None,LDA,0.771,0.382,0.861
Yeo_Johnson_Rand_Over_None,LDA,0.802,0.397,0.877
Box_Cox_Rand_Over_None,LDA,0.797,0.396,0.877
MinMax_Rand_Over_None,LDA,0.77,0.381,0.86
Standardize_Rand_Over_None,LDA,0.768,0.381,0.86
Robust_Scaler_Rand_Over_None,LDA,0.77,0.381,0.86
None_Rand_Under_None,LDA,0.772,0.37,0.857
Yeo_Johnson_Rand_Under_None,LDA,0.806,0.387,0.875
Box_Cox_Rand_Under_None,LDA,0.794,0.391,0.875
MinMax_Rand_Under_None,LDA,0.77,0.37,0.856
Standardize_Rand_Under_None,LDA,0.771,0.375,0.859
Robust_Scaler_Rand_Under_None,LDA,0.767,0.372,0.857
None_SMOTE_None,LDA,0.025,0.031,0.739
Yeo_Johnson_SMOTE_None,LDA,0.786,0.389,0.873
Box_Cox_SMOTE_None,LDA,0.791,0.395,0.873
MinMax_SMOTE_None,LDA,0.741,0.381,0.858
Standardize_SMOTE_None,LDA,0.752,0.372,0.856
Robust_Scaler_SMOTE_None,LDA,0.752,0.38,0.858
None_SMOTE_Under_None,LDA,0.025,0.031,0.74
Yeo_Johnson_SMOTE_Under_None,LDA,0.787,0.39,0.873
Box_Cox_SMOTE_Under_None,LDA,0.791,0.395,0.872
MinMax_SMOTE_Under_None,LDA,0.741,0.38,0.858
Standardize_SMOTE_Under_None,LDA,0.755,0.373,0.855
Robust_Scaler_SMOTE_Under_None,LDA,0.752,0.38,0.858
None_PCA4_None,LDA,0.157,0.17,0.837
Yeo_Johnson_PCA4_None,LDA,0.001,0.001,0.807
Box_Cox_PCA4_None,LDA,0.001,0.001,0.809
MinMax_PCA4_None,LDA,0.001,0.001,0.778
Standardize_PCA4_None,LDA,0.108,0.121,0.807
Robust_Scaler_PCA4_None,LDA,0.118,0.13,0.804
None_PCA4_Rand_Over,LDA,0.651,0.334,0.812
Yeo_Johnson_PCA4_Rand_Over,LDA,0.747,0.307,0.808
Box_Cox_PCA4_Rand_Over,LDA,0.733,0.312,0.811
MinMax_PCA4_Rand_Over,LDA,0.71,0.289,0.784
Standardize_PCA4_Rand_Over,LDA,0.703,0.31,0.8
Robust_Scaler_PCA4_Rand_Over,LDA,0.539,0.314,0.802
None_PCA4_Rand_Under,LDA,0.65,0.333,0.811
Yeo_Johnson_PCA4_Rand_Under,LDA,0.746,0.306,0.808
Box_Cox_PCA4_Rand_Under,LDA,0.733,0.312,0.811
MinMax_PCA4_Rand_Under,LDA,0.71,0.289,0.784
Standardize_PCA4_Rand_Under,LDA,0.705,0.312,0.801
Robust_Scaler_PCA4_Rand_Under,LDA,0.537,0.313,0.803
None_PCA4_SMOTE,LDA,0.653,0.333,0.812
Yeo_Johnson_PCA4_SMOTE,LDA,0.749,0.307,0.808
Box_Cox_PCA4_SMOTE,LDA,0.734,0.312,0.811
MinMax_PCA4_SMOTE,LDA,0.708,0.288,0.784
Standardize_PCA4_SMOTE,LDA,0.705,0.31,0.801
Robust_Scaler_PCA4_SMOTE,LDA,0.54,0.313,0.802
None_PCA4_SMOTE_Under,LDA,0.653,0.333,0.812
Yeo_Johnson_PCA4_SMOTE_Under,LDA,0.747,0.307,0.808
Box_Cox_PCA4_SMOTE_Under,LDA,0.734,0.312,0.811
MinMax_PCA4_SMOTE_Under,LDA,0.71,0.289,0.784
Standardize_PCA4_SMOTE_Under,LDA,0.706,0.31,0.8
Robust_Scaler_PCA4_SMOTE_Under,LDA,0.54,0.313,0.802
None_PCA8_None,LDA,0.154,0.167,0.837
Yeo_Johnson_PCA8_None,LDA,0.091,0.106,0.824
Box_Cox_PCA8_None,LDA,0.126,0.144,0.829
MinMax_PCA8_None,LDA,0,0,0.78
Standardize_PCA8_None,LDA,0.19,0.203,0.829
Robust_Scaler_PCA8_None,LDA,0.159,0.171,0.827
None_PCA8_Rand_Over,LDA,0.668,0.33,0.81
Yeo_Johnson_PCA8_Rand_Over,LDA,0.771,0.335,0.837
Box_Cox_PCA8_Rand_Over,LDA,0.767,0.342,0.839
MinMax_PCA8_Rand_Over,LDA,0.747,0.288,0.792
Standardize_PCA8_Rand_Over,LDA,0.708,0.339,0.83
Robust_Scaler_PCA8_Rand_Over,LDA,0.556,0.345,0.828
None_PCA8_Rand_Under,LDA,0.667,0.328,0.809
Yeo_Johnson_PCA8_Rand_Under,LDA,0.769,0.333,0.837
Box_Cox_PCA8_Rand_Under,LDA,0.768,0.344,0.839
MinMax_PCA8_Rand_Under,LDA,0.746,0.288,0.792
Standardize_PCA8_Rand_Under,LDA,0.708,0.339,0.83
Robust_Scaler_PCA8_Rand_Under,LDA,0.557,0.345,0.829
None_PCA8_SMOTE,LDA,0.668,0.329,0.81
Yeo_Johnson_PCA8_SMOTE,LDA,0.77,0.336,0.837
Box_Cox_PCA8_SMOTE,LDA,0.765,0.342,0.839
MinMax_PCA8_SMOTE,LDA,0.75,0.29,0.792
Standardize_PCA8_SMOTE,LDA,0.706,0.341,0.83
Robust_Scaler_PCA8_SMOTE,LDA,0.566,0.349,0.825
None_PCA8_SMOTE_Under,LDA,0.669,0.329,0.81
Yeo_Johnson_PCA8_SMOTE_Under,LDA,0.768,0.334,0.837
Box_Cox_PCA8_SMOTE_Under,LDA,0.765,0.343,0.839
MinMax_PCA8_SMOTE_Under,LDA,0.75,0.289,0.792
Standardize_PCA8_SMOTE_Under,LDA,0.708,0.341,0.83
Robust_Scaler_PCA8_SMOTE_Under,LDA,0.567,0.35,0.825
None_None_None,QDA,0.568,0.356,0.82
Yeo_Johnson_None_None,QDA,0.715,0.367,0.852
Box_Cox_None_None,QDA,0.722,0.376,0.857
MinMax_None_None,QDA,0.661,0.376,0.846
Standardize_None_None,QDA,0.662,0.374,0.846
Robust_Scaler_None_None,QDA,0.657,0.377,0.844
None_Rand_Over_None,QDA,0.615,0.347,0.822
Yeo_Johnson_Rand_Over_None,QDA,0.777,0.353,0.852
Box_Cox_Rand_Over_None,QDA,0.778,0.36,0.857
MinMax_Rand_Over_None,QDA,0.71,0.368,0.846
Standardize_Rand_Over_None,QDA,0.711,0.366,0.845
Robust_Scaler_Rand_Over_None,QDA,0.691,0.369,0.835
None_Rand_Under_None,QDA,0.867,0.214,0.715
Yeo_Johnson_Rand_Under_None,QDA,0.456,0.317,0.846
Box_Cox_Rand_Under_None,QDA,0.373,0.285,0.852
MinMax_Rand_Under_None,QDA,0.515,0.316,0.839
Standardize_Rand_Under_None,QDA,0.533,0.355,0.84
Robust_Scaler_Rand_Under_None,QDA,0.578,0.32,0.813
None_SMOTE_None,QDA,0.415,0.324,0.697
Yeo_Johnson_SMOTE_None,QDA,0.703,0.394,0.85
Box_Cox_SMOTE_None,QDA,0.698,0.4,0.854
MinMax_SMOTE_None,QDA,0.708,0.401,0.845
Standardize_SMOTE_None,QDA,0.699,0.399,0.845
Robust_Scaler_SMOTE_None,QDA,0.68,0.401,0.835
None_SMOTE_Under_None,QDA,0.412,0.32,0.697
Yeo_Johnson_SMOTE_Under_None,QDA,0.705,0.394,0.85
Box_Cox_SMOTE_Under_None,QDA,0.7,0.403,0.853
MinMax_SMOTE_Under_None,QDA,0.707,0.398,0.846
Standardize_SMOTE_Under_None,QDA,0.699,0.4,0.846
Robust_Scaler_SMOTE_Under_None,QDA,0.679,0.404,0.834
None_PCA4_None,QDA,0.243,0.228,0.814
Yeo_Johnson_PCA4_None,QDA,0.025,0.03,0.804
